y,roach1,treatment,senior,exposure2
153,308.0,1,0,0.8
127,331.25,1,0,0.6
7,1.67,1,0,1.0
7,3.0,1,0,1.0
0,2.0,1,0,1.14285714285714
0,0.0,1,0,1.0
73,70.0,1,0,0.8
24,64.56,1,0,1.14285714285714
2,1.0,0,0,1.0
2,14.0,0,0,1.14285714285714
0,138.25,0,0,1.0
21,16.0,0,0,1.0
0,97.0,0,0,1.0
179,98.0,0,0,0.8
136,44.0,0,0,1.0
104,450.0,0,0,0.8
2,36.67,0,0,0.8
5,75.0,0,0,1.0
1,2.0,0,0,1.0
203,342.5,0,0,1.0
32,22.5,0,0,1.0
1,4.0,0,0,1.0
135,94.0,0,0,1.0
59,132.13,0,0,0.857142857142857
29,80.0,0,0,1.0
120,95.0,0,0,1.0
44,34.13,0,0,0.8
1,19.0,0,0,1.0
2,25.0,0,0,1.0
193,57.5,0,0,1.0
13,3.11,0,0,1.0
37,10.5,0,0,1.0
2,47.0,0,0,1.0
0,2.63,0,0,1.0
3,204.0,0,0,1.0
0,0.0,0,0,1.0
0,0.0,0,0,1.0
15,246.25,0,0,0.8
11,76.22,0,0,1.57142857142857
19,15.0,0,0,1.42857142857143
0,14.88,0,0,1.0
19,51.0,0,0,1.0
4,15.0,0,0,1.0
122,52.5,0,0,0.8
48,13.75,0,0,1.0
0,1.17,0,0,1.0
0,1.0,0,0,1.0
3,2.0,0,0,1.0
0,0.0,0,0,1.0
9,2.0,0,0,1.0
0,2.0,0,0,1.14285714285714
0,30.0,0,0,1.14285714285714
0,7.0,0,0,1.0
12,18.0,0,0,1.0
0,2.0,0,0,0.8
357,266.0,0,0,1.0
11,174.0,1,0,0.914285714285714
60,252.0,1,0,1.0
0,0.88,1,0,1.28571428571429
159,372.5,1,0,1.0
50,42.0,1,0,1.0
48,19.0,1,0,0.771428571428571
178,263.0,1,0,1.0
4,34.0,1,0,1.42857142857143
6,1.75,1,0,1.0
0,213.5,1,0,0.771428571428571
33,13.13,1,0,1.0
127,154.0,1,0,1.0
4,21.0,1,0,1.0
63,220.0,1,0,1.0
88,38.32,1,0,1.0
5,352.5,1,0,0.6
0,7.0,1,0,1.0
0,4.0,1,0,1.0
62,59.5,1,0,1.0
4,7.5,1,0,1.0
150,112.88,1,0,1.28571428571429
38,172.0,1,0,1.0
0,13.0,1,0,1.0
3,18.0,1,0,1.0
1,0.0,1,0,1.0
14,27.0,1,0,1.0
77,148.0,1,0,1.0
42,32.0,1,0,1.14285714285714
21,28.0,1,0,1.0
1,0.0,1,0,1.0
45,28.0,1,0,1.0
